,Country code,Probability to Vote,Left-Right Placement,,Party name used in questionnaire,Party name in English,Mean Left-Right,"Mean EU integration
stance",Party code for vote choice in EP 2014,Party code for vote choice in EP 2014,Party Code in EMCS,Party Code in CHES,Party code in vote choice/id questions,,,
BE,1056,qpp8_6,qpp14_6,qpp19_6,PTB-go! (Parti du Travail de Belgique),Workers Party of Belgium,3.41,4.67,1056335,6,,119,20,13,6,7
BE,1056,qpp8_7,qpp14_7,qpp19_7,FN (Front National),National Front (Belgium),8.21,3.90,,5,,,20,,5,6
BE,1056,,,,FDF (Fédéralistes démocrates francophones ),Francophone Democratic Federalists,,,20,7,,111,,,7,8
BE,1056,,,,La droite,The Right,,,20,8,,,20,,8,9
BE,1056,,,,Autres partis du collège électoral francophone,Other parties from the francophone electoral camp,,,20,10,,,20,,10,11
BE,1056,,,,CSP (Christlich Soziale Partei ),Christian Social Party,,,20,11,,,20,,11,12
BE,1056,,,,SP (Sozialistische Partei ),Socialist Party,,,20,12,,,20,,12,13
BE,1056,,,,PFF (Partei für Freiheit und Fortschritt ),Party for Freedom and Progress,,,20,13,,,20,,13,14
BE,1056,,,,ProDG (Pro deutschsprachige Gemeinschaft  ),ProDG,,,20,14,,,20,,14,15
BE,1056,,,,Autres partis du collège électoral germanophone,Other parties from the german electoral camp,,,20,15,,,20,,15,16
BE,1056,,,,CD&V (Christen-Democratisch & Vlaams ),Christian Democratic and Flemish Party,,,20,16,,,20,2,16,17
BE,1056,,,,Groen,Green!,,,20,17,,,20,,17,18
BE,1056,,,,N-VA (Nieuw-Vlaamse Alliantie ),New Flemish Alliance,,,20,18,,,20,5,18,19
BE,1056,,,,sp.a (Socialistische Partij.Anders),Socialist Party Different,,,20,19,,,20,3,19,20
BE,1056,,,,Vlaams Belang (VB),Flemish Interest,,,20,20,,,20,7,20,21
BE,1056,,,,Open VLD (Open Vlaamse Liberalen en Democraten ),Open Flemish Liberals and Democrats,,,20,21,,,20,4,21,22
BE,1056,,,,PVDA+ (Partij van de Arbeid van België ),Workers Party of Belgium,,,20,22,,,20,,22,23
BE,1056,,,,Autres partis du collège électoral néerlandophone,Other parties from the dutch electoral camp,,,20,23,,,20,,23,24
BE,1056,,,,PVDA+ | PTB-go! (Partij van de Arbeid – Parti du Travail de Belgique),Workers Party of Belgium,,,,,,,20,1,,
BE,1056,,,,PIRATE,Pirate Party,,,,,,,20,6,,
,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,
BG,1100,qpp8_1,qpp14_1,,ГЕРБ (Граждани за европейско развитие на България),Citizens for European Development of Bulgaria,9.02,5.55,1100600,4,80620,2010,1100600,1,4,5
BG,1100,qpp8_2,qpp14_2,,Коалиция за България (БСП и коалиция),Coalition for Bulgaria,1.98,5.13,1100300,1,,2003+,1100300*,2,,
BG,1100,qpp8_3,qpp14_3,,ДПС (Движение за права и свободи),Movement for Rights and Freedom,4.93,4.21,1100900,2,80420,2004,1100900,3,2,3
BG,1100,qpp8_4,qpp14_4,,Партия Атака,Attack,5.72,5.00,1100700,3,80710,2007,1100700,4,3,4
BG,1100,qpp8_5,qpp14_5,,Реформаторски блок,Reformist Bloc,8.51,5.97,1100601,6,,2008+,1100601***,,6,7
BG,1100,qpp8_6,qpp14_6,,България без цензура,Bulgaria Without Censorship,6.29,4.76,1100602,7,,2015,1100602***,,7,8
BG,1100,qpp8_7,qpp14_7,,АБВ (Алтернатива за Българско Възраждане),Alternative for Bulgarian Revival,2.98,5.88,1103001,8,,2016,1103001***,,11,12
BG,1100,,,,НДСВ (Национално движение за стабилност и възход),National Movement for Stability and Progress,,,20,5,80902,,1100400,8,5,6
BG,1100,,,,СДС,Union of Democratic Forces,,,,,,2002,1100001,13,16,17
BG,1100,,,,Синьо единство,Blue Unity,,,20,9,,,,,12,13
BG,1100,,,,Зелените,The Greens,,,20,10,,,,,13,14
BG,1100,,,,"Ред, законност и справедливост (РЗС)","Order, Law and Justice",,,,,,,20,5,,
BG,1100,,,,"Партия ""Лидер""",Liberal Initiative for Democratic European Development (LIDER),,,,,,,20,6,,
BG,1100,,,,НДСВ (Национално движение за стабилност и възход),National Movement for Stability and Progress,,,,,,,20,7,19,20
BG,1100,,,,ВМРО – Българско Национално Движение,IMRO - Bulgarian National Movement,,,,,,2005,20,9,,
BG,1100,,,,Демократи за силна България (ДСБ),Democrats for a Strong Bulgaria,,,,,,2008,20,10,17,18
BG,1100,,,,"Движение ""България на Гражданите""",Bulgaria for Citizens Movement,,,,,,,20,11,18,19
BG,1100,,,,ГОРД,"People for Real, Open and United Democracy (PROUD)",,,,,,,20,12,,
BG,1100,,,,Българска социалистическа партия (БСП),Bulgarian Socialist Party,,,,,,2003,20,,1,2
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BG,1100,,,,Вътрешна македонска революционна организация (ВМРО-БНД),International Macedonian Revolutionary Organization,,,,,,,20,,8,9
BG,1100,,,,Движение Гергьовден,Georgia's Day Movement,,,,,,,20,,9,10
BG,1100,,,,Земеделски народен съюз (ЗНС),Agrarian People's Union,,,,,,,20,,10,11
BG,1100,,,,"Партия ""Глас народен""",Glas Naroden,,,,,,,20,,14,15
BG,1100,,,,"Народна партия ""Свобода и достойнство""","People's Party ""Freedom and Dignity""",,,,,,,20,,15,16
,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,
CY,1196,qpp8_1,qpp14_1,,Δημοκρατικός Συναγερμός (ΔΗΣΥ),Democratic Coalition,1.03,7.23,1196711,1,36510,4001,1196711,1,1,2
CY,1196,qpp8_2,qpp14_2,,Δημοκρατικό Κόμμα (ΔΗΚΟ),Democratic Party,6.66,6.42,1196422,3,36420,4004,1196422,2,3,4
CY,1196,qpp8_3,qpp14_3,,Κινήμα Σοσιαλδημοκρατών (ΕΔΕΚ),Social Democrats' Movement,5.39,6.76,,,36322,4005,1196322,3,4,5
CY,1196,qpp8_4,qpp14_4,,Ανορθωτικό Κόμμα Εργαζόμενου Λαού (ΑΚΕΛ),Progressive Party of the Working People,1.61,5.41,1196321,2,36220,4003,1196321,4,2,3
CY,1196,qpp8_5,qpp14_5,,Κίνημα Οικολόγων Περιβαλλοντιστών,Ecological and Environmental Movement (Cyprus Green Party),6.00,6.36,,,36110,4006,1196110,6,9,10
CY,1196,qpp8_6,qpp14_6,,Συμμαχία των Πολιτών,Citizens' Alliance,6.02,6.42,1196002,6,,,1196002,,6,7
CY,1196,,,,Κίνημα Σοσιολδημοκρατών/ Κίνημα Οικολόγων Περιβαλλοντιστών (ΕΔΕΚ/Οικολόγοι),Social Democrats' Movement/ Ecological and Environmental Movement -ΕΔΕΚ (1196322) + Οικολόγοι (1196110),,,1196423,4,,4005+4006,,,,
CY,1196,,,,Εθνικό Λαϊκό Μέτωπο (ΕΛΑΜ),National Popular Front,,,20,5,,,20,5,5,6
CY,1196,,,,Μήνυμα Ελπίδας,Message of Hope,,,20,7,,,20,,7,8
CY,1196,,,,Δράσυ -Eylem,Action (Drassi),,,20,8,,,20,,8,9
CY,1196,,,,ΛΑ.ΣΟ.Κ,LA.SO.K,,,,,,,20,7,,
CY,1196,,,,ΖΥΓΟΣ,LIBRA,,,,,,,20,8,,
CY,1196,,,,ΚΥ.ΠΡΟ.Σ,KY.PRO.S,,,,,,,20,9,,
CY,1196,,,,Ευρωπαϊκό Κόμμα,European Party (Cyprus),,,,,,4002,20,10,10,11
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,
CZ,1203,qpp8_1,qpp14_1,,Křesťanská a demokratická unie - Československá strana lidová  (KDU/CSL),Christian and Democratic Union / Czechoslovak People's Party,6.14,5.70,1203523,4,82523,2104,1203523,1,4,5
CZ,1203,qpp8_2,qpp14_2,,Tradice Odpovědnost Prosperita 09  (TOP 09),"Tradition, Responsibility, Prosperity 09 (TOP 09)",8.65,5.83,1203530,13,,2109,1203530,2,6,7
CZ,1203,qpp8_3,qpp14_3,,Česká strana sociálně demokratická  (CSSD),Czech Social Democratic Party,4.20,6.12,1203320,2,82320,2101,1203320,3,2,3
CZ,1203,qpp8_4,qpp14_4,,Občanská demokratická strana  (ODS),Civic Democratic Party,9.40,5.41,1203413,1,82413,2102,1203413,6,1,2
CZ,1203,qpp8_5,qpp14_5,,Komunistická strana Cech a Moravy  (KSCM),Communist Party of Bohemia and Moravia,2.06,4.21,1203220,3,82220,2103,1203220,7,3,4
CZ,1203,qpp8_6,qpp14_6,,Národní socialisté – levice 21. století,National Socialists - 21st Century Left,3.24,4.83,,,,,1203321,18,12,13
CZ,1203,qpp8_7,qpp14_7,,Akce nespokojených občanů ANO 2011,ANO 2011,7.39,6.76,1203423,7,,2111,1203413,9,7,8
CZ,1203,qpp8_8,qpp14_8,,Svobodní : Strana svobodných občanů,Party of Free Citizens,6.74,5.43,1203953,"11, 19",,2113,1203953,11,11,12
CZ,1203,,,,Strana zelených (SZ),Green Party,,,1203110,8,,2107,1203110,"4, 17",8,9
CZ,1203,,,,Věci veřejné (VV),Public Affairs,,,20,5,,,20,19,5,6
CZ,1203,,,,Koalice TOP 09 + Starostové a nezávislí (Coal. (TOP 09 + STAN)),Coalition TOP 09 + STAN,,,1203531,6,,,,,,
,,,,,,,,,,,,,,,,
CZ,1203,,,,Úsvit přímé demokracie (Usvit),Dawn of Direct Democracy,,,20,9,,2112,20,8,"9, 21","10, 22"
CZ,1203,,,,Česká pirátská strana (Česká pirátská strana),Czech Pirate Party,,,20,10,,,20,5,10,11
CZ,1203,,,,Hlavu vzhůru - volební blok (J.Bobošíková),Politika 21,,,20,12,,,20,10,14,15
CZ,1203,,,,Strana práv občanů,Party of Civic Rights,,,20,14,,,20,12,15,16
CZ,1203,,,,Dělnická strana,Workers' Party of Social Justice,,,20,15,,,20,13,16,17
CZ,1203,,,,Republika {Eva Jurinová},The Republic,,,20,16,,,20,14,17,18
CZ,1203,,,,Romská demokratická strana (RDS),Roma Democratic Party,,,20,17,,,20,15,18,19
CZ,1203,,,,SNK Evropští demokraté (SNK ED),SNK European Democrats,,,20,18,,,20,,19,20
CZ,1203,,,,Strana zdravého rozumu - nechceme euro - za Evropu svobodných států,Party of Common Sense,,,20,20,,,20,16,20,21
CZ,1203,,,,VIZE 2014 {Vladimír Šmicer},VIZE 2014,,,20,21,,,20,20,22,23
CZ,1203,,,,Volte Pravý Blok - www.cibulka.net,Right Bloc,,,20,22,,,20,21,23,24
CZ,1203,,,,STAN (Starostové a nezávislí),Mayors and Independents,,,,,,,20,,13,14
,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,
DE,1276,qpp8_1,qpp14_1,,Christlich Demokratische Union (CDU) - Christlich Soziale Union(CSU),Christian Democratic Union / Christian Social Union – CDU (1276521) + CSU (1276521),7.38,7.16,1276521,1,41521,301+308,1276521,,1,1
,,,,,,,,,,,,,,,,
DE,1276,qpp8_2,qpp14_2,,Sozialdemokratische Partei Deutschlands (SPD),Social Democratic Party,5.13,7.21,1276320,2,41320,302,1276320,3,2,3
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DE,1276,qpp8_3,qpp14_3,,Freie Demokratische Partei (FDP),Free Democratic Party,6.63,6.16,1276420,5,41420,303,1276420,4,5,6
DE,1276,qpp8_4,qpp14_4,,Bündnis 90 / Die Grünen  (Grüne),Alliance 90 / The Greens,4.74,7.03,1276113,3,41113,304,1276113,5,3,4
DE,1276,qpp8_5,qpp14_5,,Die Linke (Linke),The Left,1.99,6.07,1276321,4,41221,306,1276321,7,4,5
DE,1276,qpp8_6,qpp14_6,,Alternative für Deutschland (AfD),Alternative for Germany,7.60,3.17,1276621,7,,310,1276621,8,7,8
DE,1276,qpp8_7,qpp14_7,,Piratenpartei Deutschland (Piraten),Pirates,4.61,4.63,1276951,6,,311,1276951,6,6,7
DE,1276,,,,Familien-Partei Deutschlands,Family Party of Germany,,,20,8,,,20,,8,9
DE,1276,,,,FW - Freie Wähler,Free Voters,,,20,9,,,20,,9,10
DE,1276,,,,NPD - Nationaldemokratische Partei Deutschlands,National Democratic Party of Germany,,,20,10,,309,20,9,10,11
DE,1276,,,,ÖDP - Ökologisch-Demokratische Partei,Ecological Democratic Party,,,20,11,,,20,,11,12
DE,1276,,,,PBC - Partei Bibeltreuer Christen,Party of Bible-abiding Christians,,,20,12,,,20,,12,13
DE,1276,,,,REP - Die Republikaner,The Republicans,,,20,13,,,20,10,13,14
DE,1276,,,,Tierschutzpartei - Partei Mensch Umwelt Tierschutz,Human Environmental Animal Protection,,,20,14,,312,20,,14,15
DE,1276,,,,Christlich Demokratische Union (CDU),Christian Democratic Union,,,,,41521,301,1276521*,1,,
DE,1276,,,,Christlich Soziale Union (CSU),Christian Social Union,,,,,41522,308,1276521*,2,,
,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,
DK,1208,qpp8_1,qpp14_1,,Socialdemokraterne,Social Democratic Party,5.35,6.57,1208320,1,13320,201,1208320,1,1,2
DK,1208,qpp8_2,qpp14_2,,Venstre,Liberals,8.13,6.25,1208420,8,13420,211,1208420,2,7,8
DK,1208,qpp8_3,qpp14_3,,Socialistisk Folkeparti (SF),Socialist People's Party,3.76,5.95,1208330,4,13230,206,1208330,3,4,5
DK,1208,qpp8_4,qpp14_4,,Dansk Folkeparti,Danish People's Party,8.40,4.06,1208720,5,13710,215,1208720,4,5,6
DK,1208,qpp8_5,qpp14_5,,Det Radikale Venstre,Radical Party,6.01,6.72,1208410,2,13410,202,1208410,5,2,3
DK,1208,qpp8_6,qpp14_6,,Liberal Alliance,Liberal Alliance,8.02,5.49,1208421,6,,218,1208421,7,6,7
DK,1208,qpp8_7,qpp14_7,,Det konservative Folkeparti,Conservative People's Party,8.31,6.08,1208620,3,13620,203,1208620,8,3,4
DK,1208,qpp8_8,qpp14_8,,Folkebevægelsen mod EU,People's Movement against the EU,3.17,3.62,1208954,7,13954,217,,,,
DK,1208,,,,Ø. Enhedslisten - de rød-grønne,Red-Green Unity List,,,,,,213,20,6,9,10
DK,1208,,,,K. Kristendemokraterne,Christian Democrats,,,,,,,20,9,8,9
,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,
EE,1233,qpp8_1,qpp14_1,,Erakond Isamaa ja Res Publica Liit (IRL),Pro Patria and Res Publica Union,7.49,6.02,1233613,3,83720,2201,1233613,1,3,4
EE,1233,qpp8_2,qpp14_2,,Sotsiaaldemokraatlik Erakond (SDE),Social Democratic Party,5.64,6.50,1233410,4,83410,2204,1233410,2,4,5
EE,1233,qpp8_3,qpp14_3,,Eesti Reformierakond,Estonian Reform Party,8.64,6.90,1233430,1,83430,2203,1233430,3,1,2
EE,1233,qpp8_4,qpp14_4,,Eesti Keskerakond,Estonian Center Party,4.16,4.99,1233411,2,83411,2202,1233411,4,2,3
EE,1233,qpp8_5,qpp14_5,,Erakond Eestimaa Rohelised,Estonian Greens,5.88,6.37,1233100,5,,2207,1233100,5,5,6
EE,1233,,,,Indrek Tarand,Independent,,,1233003,8,83955,,1233003***,,8,9
EE,1233,,,,Eesti Konservatiivne Rahvaerakond,Conservative People's Party of Estonia,,4.30,20,6,,,,,6,7
EE,1233,,,,Eesti Iseseisvuspartei,Estonian Independence Party,,,20,7,,,20,9,7,8
EE,1233,,,,Eestimaa Rahvaliit,Estonian People's Union,,,,,,,20,6,,
EE,1233,,,,Vene Erakond Eestis,Russian Party in Estonia,,,,,,,20,7,,
EE,1233,,,,Erakond Eesti Kristlikud Demokraadid,Party of Estonian Christian Democrats,,,,,,,20,8,,
,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,
GR,1300,qpp8_1,qpp14_1,,Νέα Δημοκρατία (ΝΔ),New Democracy,9.21,7.40,1300511,1,34511,402,1300511,1,1,2
GR,1300,qpp8_2,qpp14_2,,Συνασπισμός Ριζοσπαστικής Αριστεράς (ΣΥΡΙΖΑ),Coalition of the Radical Left,4.21,6.56,1300215,4,34211,403,1300215,2,4,5
GR,1300,qpp8_3,qpp14_3,,Πανελλήνιο Σοσιαλιστικό Κίνημα (ΠΑΣΟΚ),Panhellenic Socialist Movement,6.99,7.05,1300314,,34313,401,1300313,3,2,3
GR,1300,qpp8_4,qpp14_4,,Ανεξάρτητοι Έλληνες (ΑΕ),Independent Greeks,7.83,6.27,1300611,8,,412,1300611,4,8,9
GR,1300,qpp8_5,qpp14_5,,Λαϊκός Σύνδεσμος -Χρυσή Αυγή (ΛΣ-ΧΑ),Golden Dawn,1.05,4.02,1300710,7,,415,1300710,5,7,8
GR,1300,qpp8_6,qpp14_6,,Δημοκρατική Αριστερά (ΔΗΜ.ΑΡ.),Democratic Left,4.83,5.99,1300225,9,,414,1300225,6,9,10
GR,1300,qpp8_7,qpp14_7,,Κομμουνιστικό Κόμμα Ελλάδας (ΚΚΕ),Communist Party of Greece,2.09,4.06,1300210,3,34210,404,1300210,7,3,4
GR,1300,qpp8_8,qpp14_8,,Το Ποτάμι,The River (Greece),6.19,7.11,1300323,10,,413,1300323***,,10,11
GR,1300,,,,Ελιά-Δημοκρατική Παράταξη (Ελιά ΔΠ),Olive Tree-Democratic Alignment –PASOK (1300313)+others,,,1300314,2,,,,,,
GR,1300,,,,Λαϊκός Ορθόδοξος Συναγερμός- Γ. Καρατζαφέρης (ΛΑΟΣ),Popular Orthodox Rally,,,1300703,5,34703,410,1300703,9,5,6
GR,1300,,,,Οικολόγοι Πράσινοι (Ο.Π.),Ecologist Greens,,,1300116,6,34701,,1300116***,,6,7
GR,1300,,,,Έλληνες Ευρωπαίοι Πολίτες,Greek European Citizens,,,20,11,,,,,,
GR,1300,,,,"Δημιουργία, ξανά!",Recreate Greece!,,,,,,,20,8,,
,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,
ES,1724,qpp8_1,qpp14_1,,PP - Partido Popular,Popular Party,9.40,5.62,1724610,2,33610,502,1724610,1,2,3
ES,1724,qpp8_2,qpp14_2,,PSOE - Partido Socialista Obrero Español,Spanish Socialist Workers' Party,4.91,6.38,1724320,1,33320,501,1724320,2,1,2
ES,1724,qpp8_3,qpp14_3,,IU (Izquierda Unida) ‐IC‐V (Iniciativa per Catalunya ‐ Verds) tambien conocido como Izquierda Plural,United Left,2.75,6.12,1724220,3,33220,504+518,1724220**,,3,
ES,1724,qpp8_4,qpp14_4,,UPyD - Unión Progreso y Democracia,"Union, Progress and Democracy",6.42,6.11,1724010,4,33440,523,1724010,5,6,7
ES,1724,qpp8_5,qpp14_5,,"Coalición por Europa (CiU, EAJ‐PNV, CC, CxG)",Coalition for Europe –  CiU (1724007) + EAJ-PNV (1724902) + CC (1724907) + others,6.25,5.44,1724925,5,,505+506+517,,,,
ES,1724,qpp8_6,qpp14_6,,ERC - Esquerra Republicana de Catalunya,Catalan Republican Left,3.29,4.94,,,33905,511,1724905,9,12,13
ES,1724,qpp8_7,qpp14_7,,Ciudadanos – Partido de la Ciudadanía,Citizens - Party of the Citizenry,6.02,6.64,1724410,9,,526,1724410,16,17,18
ES,1724,qpp8_8,qpp14_8,,Podemos,Podemos (We Can),3.26,6.00,1724230,11,,525,1724230***,,19,20
ES,1724,,,,EPDD - Coalición 'La Izquierda por el derecho a Decidir' (Esquerra Republicana de Catalunya + Nova Esquerra Catalana+ Independientes + otros) (ERC + NECat + Ind.+ otros),Left for The Right to Decide – ERC (1724905) + others,,,1724906,6,,,,,,
ES,1724,,,,CiU - Convergència i Unió,Convergence and Union,,,,,33611,505,1724007*,6,,
ES,1724,,,,EAJ-PNV - Partido Nacionalista Vasco-Euzko Alderdi Jeltzalea,Basque Nationalist Party,,,20,,33902,506,1724902,8,8,9
ES,1724,,,,BNG - Bloque Nacionalista Galego,Galician Nationalist Bloc,,,20,,33911,513,1724908,10,14,15
ES,1724,,,,CC - Coalición Canaria,Canarian Coalition,,,20,,33914,,1724907,11,10,11
ES,1724,,,,PSOE / PSC - Partido Socialista Obrero Español / Partit dels Socialistes de Catalunya,Socialists' Party of Catalonia,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ES,1724,,,,LPD - Coalición 'Los Pueblos Deciden' (Bloque Nacionalista Galego + Euskal Herria Bildu + otros) (BNG + EH Bildu),The People Decide,,,,7,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,20,,,,,,,
ES,1724,,,,Coalición 'Primavera Europea' (Compromís + Equo + CHA + otros),European Spring / Spring Europe,,,,8,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,20,,,,,,,
ES,1724,,,,VOX,Voice,,,20,10,,,20,,18,19
ES,1724,,,,IU - Izquierda Unida,United Left,,,,,,504,20,3,,4
ES,1724,,,,ICV - Iniciativa per Catalunya Verds,Initiative for Catalonia Greens,,,,,,518,20,4,4,5
ES,1724,,,,Amaiur,Amaiur,,,,,,,20,7,,
ES,1724,,,,Coalició Compromís,Commitment Coalition,,,,,,517,20,12,,
ES,1724,,,,Foro Asturias,Forum Asturias,,,,,,,20,13,,
ES,1724,,,,Geroa Bai,Future Yes,,,,,,,20,14,,
ES,1724,,,,AGE - Alternativa Galega de Esquerda,Galician Left Alternative,,,,,,,20,15,,
ES,1724,,,,Equo,Equo,,,,,,,20,17,16,17
ES,1724,,,,ANOVA - Irmandade Nacionalista,Anova-Nationalist Brotherhood,,,,,,,,,5,6
